epoch,train_loss,train_acc,test_acc
1,3.5279978477954863,0.750625,0.9300000071525574
2,2.7574490880966187,0.949375,0.9549999833106995
3,2.090857679247856,0.97,0.9649999737739563
4,1.5556993025541306,0.969375,0.9674999713897705
5,1.1580305048823356,0.971875,0.9624999761581421
6,0.8777008110284805,0.974375,0.9674999713897705
7,0.6833399613201618,0.9775,0.9674999713897705
8,0.5477522258460522,0.979375,0.9724999666213989
9,0.4509638699144125,0.979375,0.9699999690055847
10,0.3790736678242683,0.978125,0.9699999690055847
11,0.3252143613994122,0.978125,0.9724999666213989
12,0.2831203186884522,0.98125,0.9699999690055847
13,0.24966291081160308,0.980625,0.9699999690055847
14,0.22213241878896953,0.983125,0.9649999737739563
15,0.19974496122449636,0.983125,0.9624999761581421
16,0.18077300988137723,0.983125,0.9624999761581421
17,0.1644657613709569,0.983125,0.9649999737739563
18,0.15047764275223016,0.984375,0.9649999737739563
19,0.1382956015318632,0.984375,0.9649999737739563
20,0.12764024822041392,0.985625,0.9674999713897705
21,0.11826091784983873,0.98625,0.9649999737739563
22,0.10972411847673356,0.98625,0.9674999713897705
23,0.10208074688911438,0.988125,0.9674999713897705
24,0.09518024131655693,0.98875,0.9649999737739563
25,0.08909066706895828,0.988125,0.9674999713897705
26,0.08348808235488832,0.99,0.9649999737739563
27,0.07823665032163263,0.990625,0.9674999713897705
28,0.0733694661501795,0.991875,0.9674999713897705
29,0.06906790604814887,0.991875,0.9674999713897705
30,0.06508685824461281,0.993125,0.9674999713897705
31,0.061333325100131335,0.99375,0.9674999713897705
32,0.05798056716099381,0.994375,0.9674999713897705
33,0.054843485015444456,0.995625,0.9674999713897705
34,0.05182111031142995,0.995625,0.9674999713897705
35,0.04906096323393285,0.995,0.9674999713897705
36,0.04657606289023533,0.99625,0.9674999713897705
37,0.04418504546629265,0.99625,0.9674999713897705
38,0.04198420940898359,0.99625,0.9674999713897705
39,0.03990508576622233,0.996875,0.9674999713897705
40,0.03806670165387913,0.996875,0.9674999713897705
41,0.03623619138728827,0.996875,0.9674999713897705
42,0.03452772356104106,0.99625,0.9674999713897705
43,0.03290149353444576,0.996875,0.9674999713897705
44,0.03145291477208957,0.9975,0.9674999713897705
45,0.030054625291377306,0.9975,0.9674999713897705
46,0.02872062776586972,0.996875,0.9674999713897705
47,0.02754600380314514,0.996875,0.9674999713897705
48,0.026369543089531364,0.996875,0.9674999713897705
49,0.02526515200850554,0.9975,0.9674999713897705
50,0.024242189879878424,0.9975,0.9674999713897705
