epoch,train_loss,train_acc,test_acc
1,0.8749501914856955,0.8225,0.9249999523162842
2,0.09509233073680662,0.9775,0.9300000071525574
3,0.038703535677632316,0.994375,0.949999988079071
4,0.02454748907883186,0.996875,0.9350000023841858
5,0.014897017484763637,0.99875,0.9199999570846558
6,0.008488117249798961,1.0,0.9375
7,0.011002323961874935,0.9975,0.9449999928474426
8,0.005027112631069031,1.0,0.9399999976158142
9,0.004199978514370741,1.0,0.9325000047683716
10,0.0034949937180499546,1.0,0.9375
11,0.002973492948221974,1.0,0.9375
12,0.002546268013538793,1.0,0.9375
13,0.0022011003095394697,1.0,0.9375
14,0.0018649851313239196,1.0,0.9350000023841858
15,0.0015997500009689246,1.0,0.9474999904632568
16,0.0014520128110598308,1.0,0.9399999976158142
17,0.0012309377373094321,1.0,0.9375
18,0.001117167673764925,1.0,0.9424999952316284
19,0.0010174560403174836,1.0,0.9350000023841858
20,0.0008717723487097828,1.0,0.9474999904632568
21,0.0007945695481976145,1.0,0.9474999904632568
22,0.0006924548097595106,1.0,0.9375
23,0.0006294222788346815,1.0,0.9399999976158142
24,0.0005630566275431193,1.0,0.9449999928474426
25,0.0005043589594606601,1.0,0.9350000023841858
26,0.0004562401863404375,1.0,0.9424999952316284
27,0.00040694666593481087,1.0,0.9375
28,0.0003731647290123874,1.0,0.9399999976158142
29,0.00032732626923461796,1.0,0.9399999976158142
30,0.0002978134303702973,1.0,0.9449999928474426
31,0.0002687923725898145,1.0,0.9375
32,0.00024715314098330057,1.0,0.9424999952316284
33,0.0002210470005957177,1.0,0.9424999952316284
34,0.00020155147942659823,1.0,0.9449999928474426
35,0.00018073236106829426,1.0,0.9424999952316284
36,0.00015989931351896304,1.0,0.9424999952316284
37,0.00014813030571303898,1.0,0.9449999928474426
38,0.00013237317962193628,1.0,0.9375
39,0.00012207964269236982,1.0,0.9399999976158142
40,0.0001089186445597079,1.0,0.9399999976158142
41,9.744165196025278e-05,1.0,0.9449999928474426
42,8.839925703455265e-05,1.0,0.9424999952316284
43,7.970085476699751e-05,1.0,0.9424999952316284
44,7.49949379564896e-05,1.0,0.9424999952316284
45,6.433962509845514e-05,1.0,0.9449999928474426
46,6.163315470985254e-05,1.0,0.9424999952316284
47,5.377474152282957e-05,1.0,0.9424999952316284
48,4.864652048240714e-05,1.0,0.9375
49,4.4288041553954823e-05,1.0,0.9399999976158142
50,4.029823828091139e-05,1.0,0.9399999976158142
