frame_length,hop_length,best_acc
512,256,0.6725
512,512,0.6975
512,1024,0.7025
512,2048,0.645
1024,256,0.7025
1024,512,0.695
1024,1024,0.7225
1024,2048,0.67
2048,256,0.6925
2048,512,0.715
2048,1024,0.75
2048,2048,0.72
4096,256,0.665
4096,512,0.7
4096,1024,0.71
4096,2048,0.7
