frame_length,hop_length,top10,top20
512,256,0.65,0.7775
512,512,0.6475,0.78
512,1024,0.645,0.7775
512,2048,0.6525,0.7725
1024,256,0.6575,0.7925
1024,512,0.6525,0.79
1024,1024,0.6525,0.79
1024,2048,0.64,0.7875
2048,256,0.6775,0.795
2048,512,0.6775,0.795
2048,1024,0.6625,0.795
2048,2048,0.66,0.7925
4096,256,0.6575,0.78
4096,512,0.6575,0.7775
4096,1024,0.6625,0.7775
4096,2048,0.66,0.775
