epoch,train_loss,train_acc,test_loss,test_acc
1,3.3927054691314695,0.128125,3.574935264587402,0.1025
2,2.717105965614319,0.25625,2.748160095214844,0.25
3,2.30452841758728,0.37125,2.522595624923706,0.3675
4,2.0607154989242553,0.433125,3.3368663597106933,0.2125
5,1.8815551257133485,0.485,2.2083549022674562,0.4
6,1.6490353631973267,0.555,2.1867480516433715,0.4525
7,1.4299636960029602,0.60875,2.0149357891082764,0.46
8,1.2005676913261414,0.688125,2.098900012969971,0.4425
9,1.109703313112259,0.699375,1.803442735671997,0.4925
10,1.0116263937950134,0.72625,2.2759603214263917,0.44
11,0.9306026029586792,0.75375,1.7001994705200196,0.535
12,0.7743798738718033,0.805,1.773691644668579,0.545
13,0.7133861398696899,0.816875,1.6665017223358154,0.5375
14,0.6859219062328339,0.815625,1.852716588973999,0.5075
15,0.6196840125322342,0.84375,1.7194588804244995,0.5325
16,0.5096121799945831,0.890625,1.5955117654800415,0.57
17,0.4802289980649948,0.880625,1.6605007600784303,0.565
18,0.45218882471323013,0.89375,1.4982434606552124,0.57
19,0.3554986020922661,0.923125,1.5627250957489014,0.5775
20,0.2829168939590454,0.948125,1.6615320253372192,0.575
21,0.33800298362970355,0.92125,1.5932525300979614,0.595
22,0.29252459973096845,0.933125,1.494102725982666,0.61
23,0.28322789043188096,0.939375,1.5909717082977295,0.61
24,0.22618005871772767,0.95375,1.4097997426986695,0.6475
25,0.18224434986710547,0.9725,1.8318017196655274,0.5775
26,0.20096320003271104,0.96125,1.594943118095398,0.615
27,0.20861942440271378,0.9575,1.535820450782776,0.6325
28,0.16752329617738723,0.9725,1.7745307064056397,0.59
29,0.20701606668531894,0.953125,1.593991756439209,0.6125
30,0.1732930774986744,0.96625,1.7892959547042846,0.565
31,0.16505832925438882,0.96875,1.860587785243988,0.5875
32,0.15175520397722722,0.97375,1.801322536468506,0.58
33,0.194579855799675,0.958125,1.6040416860580444,0.6175
34,0.17157756246626377,0.965,1.6675169706344604,0.5825
35,0.10979034632444382,0.98125,1.5538802647590637,0.6325
36,0.07115159925073385,0.993125,1.4493156242370606,0.6725
37,0.06138600133359432,0.99375,1.6136780786514282,0.6475
38,0.06908775441348552,0.991875,1.3991001701354981,0.6625
39,0.055402082335203884,0.99375,1.4707302474975585,0.645
40,0.04271265232935548,0.99625,1.3532054805755616,0.6675
41,0.04711441699415445,0.991875,1.3948454666137695,0.67
42,0.08715644586831331,0.98375,1.831671257019043,0.615
43,0.07345549244433641,0.99125,1.4591889071464539,0.645
44,0.1698254308477044,0.959375,2.422498550415039,0.5225
45,0.18705778755247593,0.9525,1.86459796667099,0.53
46,0.11751830719411373,0.973125,1.7789222478866578,0.6175
47,0.11244040513411165,0.976875,1.9536863040924073,0.58
48,0.1349839659780264,0.968125,1.7011489152908326,0.6525
49,0.11296662144362926,0.969375,1.9359994077682494,0.5925
50,0.07039086364209651,0.9875,1.7057601737976074,0.62
