epoch,train_loss,train_acc,test_loss,test_acc
1,3.2999537897109987,0.141875,3.1393066215515137,0.15
2,2.5756064796447755,0.311875,2.6025314807891844,0.28
3,2.199322066307068,0.39625,2.241867027282715,0.3575
4,1.8854010796546936,0.490625,2.2431340408325195,0.3625
5,1.743101680278778,0.52125,2.0876091384887694,0.42
6,1.5169430041313172,0.57875,1.9254797172546387,0.4675
7,1.3727172935009002,0.6275,1.9655838584899903,0.5
8,1.250367761850357,0.659375,1.7501398086547852,0.465
9,1.1392808699607848,0.69375,2.1307499027252197,0.37
10,1.0630405950546264,0.7125,1.7177220821380614,0.545
11,0.895723466873169,0.77,1.6827269506454468,0.565
12,0.8094895190000534,0.791875,1.6323138332366944,0.5475
13,0.7199760246276855,0.819375,1.5566148090362548,0.54
14,0.6565137243270874,0.844375,1.760441207885742,0.55
15,0.540011059641838,0.8725,1.4842148208618164,0.595
16,0.5694149357080459,0.859375,1.863296070098877,0.5
17,0.49179894268512725,0.880625,1.4935169410705567,0.57
18,0.39465090215206144,0.90875,1.4975511884689332,0.6125
19,0.3473807579278946,0.924375,1.657516098022461,0.56
20,0.37130992144346237,0.908125,1.6833969020843507,0.58
21,0.365926176905632,0.916875,1.369640555381775,0.6225
22,0.30244674056768417,0.935,1.6237731075286865,0.6125
23,0.22933561727404594,0.955,1.5152823495864869,0.6225
24,0.18290774241089822,0.97,1.432757387161255,0.62
25,0.22228583782911301,0.9525,1.7655011320114136,0.545
26,0.23286516547203065,0.944375,1.3289379930496217,0.64
27,0.17106946788728236,0.97375,1.3953704380989074,0.655
28,0.1616760754585266,0.966875,1.576289336681366,0.6275
29,0.14527519077062606,0.975625,1.4906181621551513,0.625
30,0.12768255554139615,0.974375,1.518004856109619,0.6475
31,0.14683761268854142,0.97125,1.8514559507369994,0.57
32,0.16138135202229023,0.964375,1.5696395087242125,0.6125
33,0.14850698053836822,0.9725,1.6180937123298644,0.6225
34,0.13878450468182563,0.96875,1.631241087913513,0.615
35,0.12289266742765903,0.974375,1.6140235757827759,0.6575
36,0.12208166435360908,0.980625,1.6866912841796875,0.605
37,0.12231726229190826,0.9775,1.7526026248931885,0.6325
38,0.14101432345807552,0.9725,1.7485233235359192,0.5925
39,0.17011131189763545,0.96375,2.064335322380066,0.575
40,0.1851234246045351,0.951875,1.674191780090332,0.6125
41,0.21920865163207054,0.94375,1.7613068723678589,0.5875
42,0.1095467358827591,0.979375,1.4494700527191162,0.6475
43,0.06412506986409426,0.988125,1.3844172859191894,0.6725
44,0.04831827882677317,0.995625,1.3643649864196776,0.6575
45,0.046396877616643906,0.99125,1.3121152067184447,0.6925
46,0.03789784617722034,0.99625,1.321354522705078,0.6875
47,0.03175712151452899,0.995,1.2776989603042603,0.6875
48,0.04974095866084099,0.9925,1.5395220613479614,0.6325
49,0.04860523773357272,0.991875,1.6453590059280396,0.6375
50,0.10565551809966564,0.9725,1.6644466638565063,0.5925
