epoch,train_loss,train_acc,test_loss,test_acc
1,3.4019949865341186,0.129375,2.9419211101531983,0.1725
2,2.6208700370788574,0.283125,2.6033212471008302,0.2675
3,2.225582492351532,0.378125,2.51714280128479,0.295
4,1.8789818143844605,0.485,2.1946361684799194,0.3875
5,1.6395346736907959,0.55375,1.9889648532867432,0.43
6,1.4729946851730347,0.59375,2.2524088191986085,0.4025
7,1.2677717077732087,0.65,1.713196301460266,0.5425
8,1.1044801449775696,0.711875,1.654153780937195,0.5625
9,0.9855494713783264,0.7325,1.6401869535446167,0.535
10,0.848336706161499,0.7825,1.5182341527938843,0.5875
11,0.7098783791065216,0.82,1.632642207145691,0.54
12,0.67757051050663,0.8225,1.6624057912826538,0.5325
13,0.6285850173234939,0.831875,2.2419349002838134,0.4475
14,0.5348144865036011,0.87375,1.5524794197082519,0.5925
15,0.4699370661377907,0.88375,1.671103925704956,0.5775
16,0.3943358972668648,0.91375,1.6696755981445313,0.5725
17,0.3519222944974899,0.9175,1.4876492643356323,0.6075
18,0.2921227186918259,0.94125,1.4211484432220458,0.6225
19,0.2527022409439087,0.95125,1.3337266111373902,0.6525
20,0.22545309796929358,0.95375,1.3317857480049133,0.6425
21,0.2269238817691803,0.95375,1.609804391860962,0.6075
22,0.27793179631233217,0.93875,2.171188945770264,0.5575
23,0.19411657154560089,0.963125,1.3085976076126098,0.6775
24,0.12128284990787506,0.98625,1.4045425820350648,0.615
25,0.12340138778090477,0.979375,1.6668627595901488,0.595
26,0.12628448985517024,0.979375,1.5528986978530883,0.6325
27,0.1413223346322775,0.974375,1.6655626821517944,0.595
28,0.18859182327985763,0.955625,1.6490270948410035,0.5975
29,0.16551454961299897,0.959375,1.775774555206299,0.615
30,0.19119451619684696,0.954375,1.6849676513671874,0.6175
31,0.18580444544553756,0.955625,1.4269355249404907,0.6375
32,0.10963144063949586,0.980625,1.4361996269226074,0.66
33,0.05472396859899163,0.995625,1.2882974767684936,0.685
34,0.0429743317887187,0.995,1.400886812210083,0.6725
35,0.039814601223915815,0.995,1.348881425857544,0.675
36,0.028527310751378536,0.99875,1.2175870895385743,0.6975
37,0.023221601163968444,0.999375,1.2699541544914246,0.685
38,0.015428136847913266,1.0,1.243166127204895,0.6825
39,0.016985383052378893,0.999375,1.331506505012512,0.675
40,0.019993897564709186,0.999375,1.3319306707382201,0.665
41,0.014749743640422822,1.0,1.2579390025138855,0.6875
42,0.013732886887155474,0.999375,1.300301296710968,0.675
43,0.027780552702024577,0.995,1.6479641246795653,0.6275
44,0.12244723374024033,0.96875,2.6853051948547364,0.4825
45,0.2797560492157936,0.928125,3.465917873382568,0.4475
46,0.3300336736440659,0.90625,1.9242277193069457,0.575
47,0.14958677232265472,0.96125,1.4944182896614076,0.63
48,0.10782969579100608,0.97375,1.6442503499984742,0.625
49,0.05398335805162788,0.993125,1.4499294233322144,0.68
50,0.02378656255081296,0.996875,1.3493652439117432,0.6725
