epoch,train_loss,train_acc,test_loss,test_acc
1,3.3540528440475463,0.115625,3.0795457935333252,0.1275
2,2.5763649845123293,0.278125,2.452922992706299,0.335
3,2.221140422821045,0.365625,2.1812604522705077,0.38
4,1.8854574966430664,0.475,2.608104419708252,0.2875
5,1.6132340216636658,0.566875,2.347410774230957,0.365
6,1.390454363822937,0.605,1.8243081951141358,0.5175
7,1.1961519587039948,0.681875,1.786964874267578,0.4825
8,1.0673193788528443,0.705625,1.5927019691467286,0.5325
9,0.8833551585674286,0.756875,1.6571535634994508,0.505
10,0.700277436375618,0.81625,1.6198040390014647,0.5625
11,0.6062852627038956,0.83875,1.3442370104789734,0.62
12,0.5406779682636261,0.858125,1.5799096345901489,0.5325
13,0.4715561193227768,0.8875,1.3616362714767456,0.6025
14,0.41151774883270265,0.90625,1.3847688484191893,0.6275
15,0.3016038477420807,0.938125,1.452479166984558,0.5725
16,0.24399146050214768,0.951875,1.1979474020004273,0.655
17,0.21038798213005067,0.961875,1.3226090335845948,0.63
18,0.1711215353012085,0.96875,1.2614037227630615,0.6525
19,0.16116876363754273,0.965625,1.7217465543746948,0.5625
20,0.16887934744358063,0.965,1.2901350140571595,0.6275
21,0.11416024692356587,0.98125,1.3280444860458374,0.64
22,0.11945893235504627,0.974375,1.5297518110275268,0.5975
23,0.1381597398966551,0.975,1.3568292379379272,0.6525
24,0.08152718260884285,0.98875,1.325982871055603,0.6275
25,0.05623982101678848,0.993125,1.2812999343872071,0.6775
26,0.09127509981393814,0.981875,1.5027691149711608,0.6275
27,0.052262528873980044,0.995,1.222430191040039,0.68
28,0.05481643343344331,0.99125,1.4022927975654602,0.6425
29,0.05206738591194153,0.993125,1.460830249786377,0.6225
30,0.02763140117749572,0.996875,1.215366907119751,0.685
31,0.023466911073774098,0.99625,1.2253727197647095,0.69
32,0.02259645253419876,0.996875,1.1460194039344787,0.71
33,0.011702851969748735,1.0,1.1507398319244384,0.695
34,0.019165968387387693,0.998125,1.3257981586456298,0.6325
35,0.021290963161736728,0.99875,1.1589322090148926,0.68
36,0.023550969315692782,0.99625,1.304289801120758,0.665
37,0.1229610756970942,0.965,2.3717063426971436,0.4475
38,0.2044244684278965,0.940625,2.7359975147247315,0.47
39,0.21473196059465408,0.93875,1.9584539413452149,0.54
40,0.18028752967715264,0.945625,1.7444419527053834,0.5625
41,0.09453971795737744,0.975625,1.6667449283599853,0.5975
42,0.061615222338587045,0.986875,1.565129132270813,0.6125
43,0.05684814311563969,0.986875,1.306104073524475,0.6525
44,0.020076580364257097,0.998125,1.2232869100570678,0.685
45,0.011218760842457414,0.999375,1.1908842706680298,0.6975
46,0.006154198832809925,1.0,1.12726625084877,0.7
47,0.00483189380960539,1.0,1.1188768541812897,0.72
48,0.0037074916344136,1.0,1.1117521238327026,0.7
49,0.0038250388135202228,1.0,1.153004219532013,0.7025
50,0.00457734772702679,0.999375,1.1398401379585266,0.715
