epoch,train_loss,train_acc,test_loss,test_acc
1,3.395289912223816,0.121875,3.056021375656128,0.2075
2,2.733592782020569,0.24,2.7505284404754637,0.2525
3,2.365582277774811,0.315,2.51252197265625,0.2925
4,2.0831401205062865,0.41375,2.2713969230651854,0.37
5,1.8306884169578552,0.486875,2.0989452266693114,0.4175
6,1.601762249469757,0.55125,2.2414748954772947,0.3875
7,1.4799933648109436,0.575625,1.9662898254394532,0.4575
8,1.2390165472030639,0.658125,1.7523510646820069,0.5
9,1.0491834080219269,0.725,1.8295315504074097,0.4975
10,0.9371640622615814,0.745,1.722363781929016,0.555
11,0.82257344186306,0.778125,1.582331781387329,0.57
12,0.7427687990665436,0.79625,1.5948632860183716,0.59
13,0.6153010255098343,0.84375,1.401242961883545,0.61
14,0.570201159119606,0.8525,1.5075629329681397,0.5675
15,0.5379083722829818,0.866875,1.5687621879577636,0.5775
16,0.4278038561344147,0.895625,1.297406940460205,0.6575
17,0.335866385102272,0.92625,1.5002697372436524,0.615
18,0.29361997842788695,0.938125,1.3780988025665284,0.65
19,0.2826968267560005,0.933125,1.3756167888641357,0.625
20,0.2558004152774811,0.9475,1.3692643690109252,0.6225
21,0.19483004063367843,0.9625,1.338671898841858,0.6475
22,0.1942650756239891,0.96125,1.4500330257415772,0.6775
23,0.20175871402025222,0.961875,1.3398149156570434,0.6725
24,0.16833556070923805,0.9625,1.404278163909912,0.655
25,0.11801939271390438,0.98625,1.187152066230774,0.6675
26,0.09325741488486529,0.988125,1.3306105709075928,0.6725
27,0.12176444485783577,0.974375,1.5160722732543945,0.6275
28,0.19710597276687622,0.94875,1.6739937448501587,0.625
29,0.13824160739779473,0.975,1.2600041842460632,0.6775
30,0.09093084465712309,0.98625,1.4992488241195678,0.6575
31,0.09274502534419299,0.9825,1.3325033569335938,0.695
32,0.0893774039670825,0.985625,1.507733941078186,0.66
33,0.10180744174867869,0.978125,1.417948112487793,0.655
34,0.08605164200067521,0.98625,1.282385606765747,0.675
35,0.03972851464524865,0.994375,1.2658715963363647,0.6875
36,0.03335342653095722,0.9975,1.2740343809127808,0.69
37,0.03179561065509915,0.995,1.2328207230567931,0.6925
38,0.03980159383267164,0.99375,1.3993416833877563,0.675
39,0.026413709130138158,0.998125,1.1942913675308227,0.705
40,0.01997359606437385,0.99875,1.2954886388778686,0.7075
41,0.01176847810856998,1.0,1.1682389855384827,0.7075
42,0.007603943208232522,1.0,1.2128169679641723,0.7125
43,0.00775440092664212,1.0,1.166944375038147,0.7175
44,0.006400183695368469,1.0,1.1640334630012512,0.705
45,0.00521471818909049,1.0,1.1499576592445373,0.7175
46,0.005214925585314631,1.0,1.1186165380477906,0.705
47,0.004715209521818906,1.0,1.1245574045181275,0.72
48,0.004256170296575874,1.0,1.1554865050315857,0.72
49,0.003768492864910513,1.0,1.1637990140914918,0.7175
50,0.003376275966875255,1.0,1.1339796376228333,0.7225
