epoch,train_loss,train_acc,test_loss,test_acc
1,3.3160059118270873,0.1325,2.960024347305298,0.21
2,2.6161141395568848,0.29375,2.5095721912384032,0.2825
3,2.2372879648208617,0.39375,2.4438923740386964,0.31
4,1.9637760949134826,0.44875,2.2382263278961183,0.36
5,1.7218448495864869,0.521875,2.2093441104888916,0.435
6,1.4565649771690368,0.606875,1.9784459209442138,0.48
7,1.2386074781417846,0.661875,1.849873332977295,0.4675
8,1.121990270614624,0.689375,2.1684750270843507,0.475
9,0.99799973487854,0.73125,1.73271812915802,0.52
10,0.8040961974859238,0.78625,1.7376525354385377,0.5225
11,0.7224096763134003,0.810625,1.80490177154541,0.5025
12,0.6656635648012161,0.834375,1.8728297472000122,0.495
13,0.5666244721412659,0.854375,1.5459625577926637,0.555
14,0.46770837098360063,0.89,1.6102669906616212,0.55
15,0.4441885367035866,0.894375,1.6063682174682616,0.58
16,0.39729036957025526,0.909375,1.7626766777038574,0.5525
17,0.3804046368598938,0.915,1.5022385096549988,0.595
18,0.294640876352787,0.93625,1.7929781436920167,0.5425
19,0.2539124572277069,0.944375,1.4781688308715821,0.5875
20,0.25218787401914594,0.945625,1.5274512052536011,0.605
21,0.194334826618433,0.9625,1.662321629524231,0.57
22,0.2105846130847931,0.95,1.7765689182281494,0.575
23,0.2081796184182167,0.95375,1.7038395643234252,0.5575
24,0.12909214287996293,0.975,1.3363246202468873,0.66
25,0.11301508076488971,0.9775,1.6331160879135131,0.6075
26,0.09476619120687246,0.988125,1.4621220207214356,0.6575
27,0.0653999662399292,0.995,1.4181039333343506,0.6475
28,0.05910562098026276,0.994375,1.3706420469284057,0.6625
29,0.07410514663904905,0.986875,1.8199292278289796,0.6025
30,0.10757355656474829,0.97875,1.4904758787155152,0.6275
31,0.09576058842241764,0.980625,1.8094377851486205,0.58
32,0.08468097388744354,0.985,1.745528826713562,0.5925
33,0.07980490431189537,0.984375,1.9865962266921997,0.5625
34,0.14370402038097382,0.95875,1.9526525020599366,0.565
35,0.18603909589350223,0.948125,1.9631542921066285,0.5225
36,0.13569888837635516,0.964375,1.7479993200302124,0.6225
37,0.07694378942251205,0.986875,1.614162015914917,0.64
38,0.035173527766019105,0.9975,1.5017088651657104,0.6575
39,0.023058562260121106,0.9975,1.5140457844734192,0.665
40,0.017568555558100343,0.998125,1.41098876953125,0.675
41,0.010554526010528207,1.0,1.3893636631965638,0.69
42,0.007814934514462947,1.0,1.3788892006874085,0.69
43,0.007019599666818976,1.0,1.3709755229949951,0.695
44,0.006725278366357088,1.0,1.4071035742759705,0.695
45,0.006908590449020266,0.999375,1.4887814044952392,0.6675
46,0.006754287863150239,1.0,1.3742682766914367,0.6925
47,0.004788722763769329,1.0,1.3665049576759338,0.695
48,0.004285813481546938,1.0,1.354280858039856,0.6925
49,0.0036674192524515092,1.0,1.3414675641059874,0.7025
50,0.004619221210014075,1.0,1.352902991771698,0.7
